filepath,caption_suggested,tags_suggested
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5055.jpg,NUI-5055,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5056.jpg,NUI-5056,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5059.jpg,NUI-5059,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5060.jpg,NUI-5060,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5068.jpg,NUI-5068,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5075.jpg,NUI-5075,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5077.jpg,NUI-5077,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5081.jpg,NUI-5081,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5086.jpg,NUI-5086,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5088.jpg,NUI-5088,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5097.jpg,NUI-5097,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5100.jpg,NUI-5100,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5104.jpg,NUI-5104,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5106.jpg,NUI-5106,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5112.jpg,NUI-5112,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5117.jpg,NUI-5117,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5123.jpg,NUI-5123,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5128.jpg,NUI-5128,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5132.jpg,NUI-5132,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5140.jpg,NUI-5140,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5142.jpg,NUI-5142,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5150.jpg,NUI-5150,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5154.jpg,NUI-5154,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5158.jpg,NUI-5158,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5165.jpg,NUI-5165,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5166.jpg,NUI-5166,night
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5167.jpg,NUI-5167,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5172.jpg,NUI-5172,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5174.jpg,NUI-5174,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5175.jpg,NUI-5175,morning
D:\Program Files\weddinggrominghomeprewhan\WEDDING\NUI-5178.jpg,NUI-5178,morning
